context_id,context_name,context_immediate_parent_id
1,Human activity,-1
2,Belief,1
3,Knowledge,1
4,Pseudoscience,2
5,Religion,2
6,Superstition and magic,2
7,Traditional belief,2
8,Art,3
9,Science,3
10,Technology,3
11,Architecture pseudoscience,4
12,Astronomy and space pseudoscience,4
13,Miscellaneous pseudoscience,4
14,Consumer products pseudoscience,4
15,Earth pseudoscience,4
16,Energy pseudoscience,4
17,Health and medicine quackery,4
18,Idiosyncratic ideas,4
19,Numerology pseudoscience,4
20,Paranormal and ufology,4
21,Physics pseudoscience,4
22,Psychology pseudoscience,4
23,Racial theory pseudoscience,4
24,Religious and spiritual pseudoscience,4
25,Sociology pseudoscience,4
26,Acosmism,5
27,Agnosticism,5
28,Animism,5
29,Atheism,5
30,Deism,5
31,Gnosticism,5
32,Jainism,5
33,Mysticism,5
34,Scientology,5
35,Theism,5
36,Magic,6
37,Superstition,6
38,Folklore,7
39,Mythology,7
40,Decorative art,8
41,History of art,8
42,Performing art,8
43,Visual art,8
44,Applied science,9
45,Mathematics,9
46,Natural science,9
47,Social science,9
48,Equipment,10
49,Industry,10
50,Instrument,10
51,Invention,10
52,Machinery,10
53,Time measurement,10
54,Toy,10
55,Utensil,10
56,2012 millenarianism,12
57,Ancient astronauts,12
58,Astrology,12
59,Dogon people and Sirius B,12
60,Geocentric model,12
61,Lunar effect,12
62,Modern flat earth beliefs,12
63,Moon landing conspiracy theories,12
64,Nibiru cataclysm,12
65,The face on Mars,12
66,Vaim?nika Sh?stra,12
67,Worlds in collision,12
68,Acupuncture,17
77,Chiropractic,17
78,Chromotherapy,17
87,Eugenics,17
89,Homeopathy,17
97,Naturopathy,17
100,Osteopathy,17
101,Pagtatawas,17
102,Phrenology,17
103,Psychic surgery,17
106,Reiki,17
107,Rife machine treatment,17
116,Monotheism,35
117,Pandeism,35
118,Panentheism,35
119,Pantheism,35
120,Polytheism,35
121,Value-judgment theism,35
122,Alchemy,36
123,Asatru,36
124,Benedicana,36
125,Black magic,36
126,Bon,36
127,Candomble Jeje,36
128,Ceremonial magic,36
129,Chaos magic,36
130,Druidry,36
131,Feri tradition,36
132,Haitian Vodou,36
133,Hermetic Qabalah,36
134,Hermeticism,36
135,Hoodoo,36
136,Huna,36
137,Kabbalah,36
138,Louisiana Voodoo,36
139,Nagual,36
140,Obeah,36
141,Onmyodo,36
142,Legend,38
143,Myth,38
144,Oral tale,38
145,Tradition,38
146,African mythology,39
147,Arabic mythology,39
148,Australian mythology,39
149,Aztec mythology,39
150,Balkan region mythology,39
151,Baltic mythology,39
152,Basque mythology,39
153,Buddhist mythology,39
154,Celtic mythology,39
155,Chinese mythology,39
156,Christian mythology,39
157,Egyptian mythology,39
158,Etruscan mythology,39
159,Fijian mythology,39
160,Finnish mythology,39
161,Greco-Roman mythology,39
162,Hawaiian mythology,39
163,Hebrew mythology,39
164,Hindu mythology,39
165,Hittite mythology,39
166,Carving,40
167,Enamel,40
169,Fretwork,40
170,Furniture,40
171,Glassware,40
172,Jewelry,40
173,Metalwork,40
174,Mosaics,40
175,Pottery,40
176,Textile art,40
177,Wallpaper,40
178,Circus arts,42
179,Dance,42
180,Magic performance,42
181,Mime,42
182,Music,42
183,Opera,42
184,Performance art,42
185,Public speaking,42
186,Puppetry,42
187,Recitation,42
188,Spoken word,42
189,Theatre,42
190,Applied art,43
191,Ceramics,43
192,Fine art,43
193,Engineering,44
194,Medicine,44
195,Algebra,45
196,Analysis,45
197,Applied mathematics,45
198,Combinatorics,45
199,Geometry,45
200,History of mathematics,45
201,Mathematical logic,45
202,Mathematical modeling,45
203,Number theory,45
204,Recreational mathematics,45
205,Topology,45
206,Life science,46
207,Physical science,46
208,Anthropology,47
209,Archaeology,47
210,Business,47
211,Civics,47
212,Cognitive Science,47
213,Communication,47
214,Cultural studies,47
215,Development studies,47
216,Economics,47
217,Environmental studies,47
218,Gender and sexuality studies,47
219,Geography,47
220,Gerontology,47
221,History,47
222,Industrial relations,47
223,Information science,47
224,International studies,47
225,Law,47
226,Legal management,47
227,Leisure studies,47
228,Library science,47
229,Management,47
230,Media studies,47
231,Philosophy,47
232,Political science,47
233,Psychology,47
234,Social work,47
235,Sociology,47
236,Sustainability studies,47
237,Sustainable development,47
238,Communication technology,48
239,Cutting and edge tool,48
240,Electrical equipment,48
241,Environment protection equipment,48
242,Fastening tool,48
243,"Guiding, measuring and perception tool",48
244,Information and data manipulation tool,48
245,Military technology,48
246,Moving tool,48
247,Multi-use tool,48
248,Office supply,48
249,Photography equipment,48
250,Safety and emergency equipment,48
251,Shaping tool,48
252,Temperature and ignition tool,48
253,Video technology,48
254,"Agriculture, forestry, fishing and hunting",49
255,"Mining, quarrying and oil and gas",49
256,Utilities,49
257,Construction,49
258,Manufacturing,49
259,Wholesale trade,49
260,Retail trade,49
261,Transportation and warehousing,49
262,Information,49
263,Finance and insurance,49
264,"Real estate, rental and leasing",49
265,"Professional, scientific and technical services",49
266,Management of companies and enterprises,49
267,"Administrative, support, waste management and remediation services",49
268,Educational services,49
269,Health care and social assistance,49
270,"Arts, entertainment and recreation",49
271,Accomodation and food services,49
272,Public administration,49
273,Miscellaneous services,49
274,Financial instrument,50
275,Flight instrument,50
276,Laboratory equipment,50
277,Legal instrument,50
278,Mathematical instrument,50
279,Measuring instrument,50
280,Medical instrument,50
281,Musical instrument,50
282,Negotiable instrument,50
283,Optical instrument,50
284,Quantum instrument,50
285,Scientific instrument,50
286,Statutory instrument,50
287,Surgical instrument,50
288,Vehicle instrument,50
289,Weather instrument,50
290,Compressor,52
291,Conveyor system,52
292,Electronic machine,52
293,Engine,52
294,Linkage,52
295,Miscellaneous machinery,52
296,Power tool,52
297,Pump,52
298,Simple machine tool,52
299,Vehicle,52
300,Calendar,53
301,Clock,53
302,Kitchenware,55
303,Tableware,55
304,Abrahamic religion,116
305,Atenism,116
306,Chinese Shangdi,116
307,Henotheism,116
308,Monolatrism,116
309,Monotheist indigenous African religion,116
310,Proto-Indo-European religion,116
311,Sikhism,116
312,Syncretistic religion,116
313,Tengriism,116
314,Buddhism,120
315,Neopaganism,120
316,Polytheist Hinduism,120
317,Reconstrutionism,120
318,Serer religion,120
319,Wicca,120
320,Acoustic music,182
321,Miscellaneous music,182
322,Ancient music,182
323,Anime music,182
324,Background music,182
325,Blues,182
326,Ceremonial music,182
327,Children music,182
328,Classical music,182
329,Close harmony,182
330,Comedy music,182
331,Commercial music,182
332,Country music,182
333,Dance music,182
334,Easy listening,182
335,Electronic music,182
336,Experimental music,182
337,Fingerstyle music,182
338,Folk dance music,182
339,Hip hop,182
340,History of music,182
341,Holiday music,182
342,Improvisational music,182
343,Industrial music,182
344,Inspirational music,182
345,Instrumental music,182
346,Jazz,182
347,Karaoke,182
348,Latin music,182
349,Melodic music,182
350,Music drama,182
351,Musical poetry,182
352,Noise music,182
353,Outsider music,182
354,Pop music,182
355,Popular song,182
356,Queercore,182
357,R&B,182
358,Rap,182
359,Reggae,182
360,Retro music,182
361,Rock music,182
362,Seapunk,182
363,Situational music,182
364,Songwriter music,182
365,Soul music,182
366,Soundtrack music,182
367,Spectral music,182
368,Spoken word music,182
369,Tejano,182
370,Theme music,182
371,Underground music,182
372,Vocal music,182
373,Women music,182
374,Wood sounds,182
375,Work song,182
376,World music,182
377,Fashion design,190
378,Graphic design,190
379,Industrial design,190
380,Interior design,190
381,Architecture,192
382,Crafts,192
383,Design and creativity,192
384,Drawing,192
385,Filmmaking,192
386,Literature,192
387,Painting,192
388,Photography,192
389,Printmaking,192
390,Sculpture,192
391,Video,192
392,Aerospace Engineering,193
393,Agricultural Engineering,193
394,Applied Engineering,193
395,Biological Engineering,193
396,Biomedical Engineering,193
397,Building services Engineering,193
398,Chemical Engineering,193
399,Civil Engineering,193
400,Electrical Engineering,193
401,Industrial Engineering,193
402,Miscellaneous Engineering,193
403,Mechanical Engineering,193
404,Mechatronics Engineering,193
405,Military Engineering,193
406,Nanoengineering,193
407,Nuclear Engineering,193
408,Railway Engineering,193
409,Software Engineering,193
410,Systems Engineering,193
411,Textile Engineering,193
412,Allergic medicine,194
413,Anesthesiology,194
414,Audiology,194
415,Biochemistry,194
416,Biomechanics,194
