"phrase_id","phrase_text","phrase_length","red_flag","phrase_index"
"1","current",1,0,"-1"
"2","world",1,0,"-1"
"3","archaeology",1,0,"-1"
"4","is",1,0,"-1"
"5","a",1,0,"-1"
"6","magazine",1,0,"-1"
"8","to",1,0,"-1"
"10","the",1,0,"-1"
"13","particularly",1,0,"-1"
"14","on",1,0,"-1"
"15","egypt",1,0,"-1"
"17","and",1,0,"-1"
"18","near",1,0,"-1"
"19","east",1,0,"-1"
"20","greece",1,0,"-1"
"21","rome",1,0,"-1"
"22","although",1,0,"-1"
"23","whole",1,0,"-1"
"24","covered",1,0,"-1"
"25","it",1,0,"-1"
"26","studies",1,0,"-1"
"27","great",1,0,"-1"
"29","from",1,0,"-1"
"32","of",1,0,"-1"
"33","past",1,0,"-1"
"34","such",1,0,"-1"
"35","as",1,0,"-1"
"36","early",1,0,"-1"
"37","humans",1,0,"-1"
"39","greek",1,0,"-1"
"42","roman",1,0,"-1"
"43","alexander",1,0,"-1"
"44","2009",1,0,"-1"
"46","was",1,0,"-1"
"48","through",1,0,"-1"
"49","wide",1,0,"-1"
"50","selection",1,0,"-1"
"53","stories",1,0,"-1"
"55","other",1,0,"-1"
"56","main",1,0,"-1"
"57","features",1,0,"-1"
"58","in",1,0,"-1"
"59","issues",1,0,"-1"
"60","have",1,0,"-1"
"61","included",1,0,"-1"
"63","not",1,0,"-1"
"64","an",1,0,"-1"
"65","academic",1,0,"-1"
"66","journal",1,0,"-1"
"69","at",1,0,"-1"
"71","well",1,0,"-1"
"72","professional",1,0,"-1"
"73","archaeologists",1,0,"-1"
"74","which",1,0,"-1"
"76","for",1,0,"-1"
"77","new",1,0,"-1"
"79","when",1,0,"-1"
"80","they",1,0,"-1"
"81","occur",1,0,"-1"
"84","excavations",1,0,"-1"
"86","work",1,0,"-1"
"87","collaboration",1,0,"-1"
"88","with",1,0,"-1"
"89","british",1,0,"-1"
"90","museum",1,0,"-1"
"91","academy",1,0,"-1"
"92","many",1,0,"-1"
"93","universities",1,0,"-1"
"94","both",1,0,"-1"
"95","UK",1,0,"-1"
"96","across",1,0,"-1"
"98","by",1,0,"-1"
"99","council",1,0,"-1"
"100","includes",1,0,"-1"
"101","written",1,0,"-1"
"102","established",1,0,"-1"
"104","simon",1,0,"-1"
"106","assistant",1,0,"-1"
"107","director",1,0,"-1"
"109","institute",1,0,"-1"
"110","study",1,0,"-1"
"111","japanese",1,0,"-1"
"112","arts",1,0,"-1"
"114","professor",1,0,"-1"
"115","andrew",1,0,"-1"
"117","college",1,0,"-1"
"118","london",1,0,"-1"
"119","david",1,0,"-1"
"120","gilman",1,0,"-1"
"123","published",1,0,"-1"
"124","6",1,0,"-1"
"125","times",1,0,"-1"
"126","per",1,0,"-1"
"127","year",1,0,"-1"
"128","launched",1,0,"-1"
"129","september",1,0,"-1"
"130","2003",1,0,"-1"
"131","sister",1,0,"-1"
"132","united",1,0,"-1"
"133","kingdom",1,0,"-1"
"137","has",1,0,"-1"
"139","10",1,0,"-1"
"141","20",1,0,"-1"
"142","each",1,0,"-1"
"143","least",1,0,"-1"
"144","4",1,0,"-1"
"145","major",1,0,"-1"
"148","all",1,0,"-1"
"149","areas",1,0,"-1"
"150","around",1,0,"-1"
"151","these",1,0,"-1"
"152","are",1,0,"-1"
"153","often",1,0,"-1"
"155","make",1,0,"-1"
"156","them",1,0,"-1"
"158","also",1,0,"-1"
"160","including",1,0,"-1"
"161","regular",1,0,"-1"
"162","brian",1,0,"-1"
"164","california",1,0,"-1"
"165","richard",1,0,"-1"
"172","is a",2,0,"-1"
"186","and the",2,0,"-1"
"193","the whole",2,0,"-1"
"204","of the",2,0,"-1"
"206","such as",2,0,"-1"
"210","the greek",2,0,"-1"
"212","the roman",2,0,"-1"
"231","stories and",2,0,"-1"
"243","as a",2,0,"-1"
"255","as well",2,0,"-1"
"256","well as",2,0,"-1"
"259","it is",2,0,"-1"
"276","work in",2,0,"-1"
"279","with the",2,0,"-1"
"280","the british",2,0,"-1"
"283","and many",2,0,"-1"
"286","in the",2,0,"-1"
"287","the UK",2,0,"-1"
"290","across the",2,0,"-1"
"291","the world",2,0,"-1"
"294","by the",2,0,"-1"
"302","written by",2,0,"-1"
"312","for the",2,0,"-1"
"313","the study",2,0,"-1"
"314","study of",2,0,"-1"
"334","and was",2,0,"-1"
"337","in september",2,0,"-1"
"346","the united",2,0,"-1"
"347","united kingdom",2,0,"-1"
"355","is the",2,0,"-1"
"357","and has",2,0,"-1"
"358","has a",2,0,"-1"
"367","at least",2,0,"-1"
"378","around the",2,0,"-1"
"385","to make",2,0,"-1"
"477","as well as",3,0,"-1"
"480","it is a",3,0,"-1"
"504","in the UK",3,0,"-1"
"531","the study of",3,0,"-1"
"563","in the united",3,0,"-1"
"564","the united kingdom",3,0,"-1"
"745","in the united kingdom",4,0,"-1"
"929","species",1,0,"-1"
"930","sea",1,0,"-1"
"931","snail",1,0,"-1"
"932","marine",1,0,"-1"
"933","gastropod",1,0,"-1"
"934","mollusk",1,0,"-1"
"935","family",1,0,"-1"
"937","shell",1,0,"-1"
"938","grows",1,0,"-1"
"939","length",1,0,"-1"
"940","11",1,0,"-1"
"941","mm",1,0,"-1"
"942","smooth",1,0,"-1"
"945","thick",1,0,"-1"
"946","solid",1,0,"-1"
"947","its",1,0,"-1"
"948","color",1,0,"-1"
"949","very",1,0,"-1"
"950","dark",1,0,"-1"
"951","brown",1,0,"-1"
"954","whorls",1,0,"-1"
"955","oblique",1,0,"-1"
"958","round",1,0,"-1"
"959","middle",1,0,"-1"
"962","rather",1,0,"-1"
"963","large",1,0,"-1"
"964","this",1,0,"-1"
"965","occurs",1,0,"-1"
"967","region",1,0,"-1"
"968","off",1,0,"-1"
"969","philippines",1,0,"-1"
"972","a species",2,0,"-1"
"973","species of",2,0,"-1"
"974","of sea",2,0,"-1"
"975","sea snail",2,0,"-1"
"976","a marine",2,0,"-1"
"977","marine gastropod",2,0,"-1"
"978","gastropod mollusk",2,0,"-1"
"979","mollusk in",2,0,"-1"
"980","the family",2,0,"-1"
"982","the shell",2,0,"-1"
"983","shell grows",2,0,"-1"
"984","grows to",2,0,"-1"
"985","to a",2,0,"-1"
"986","a length",2,0,"-1"
"987","length of",2,0,"-1"
"993","shell is",2,0,"-1"
"999","is very",2,0,"-1"
"1005","the whorls",2,0,"-1"
"1006","whorls are",2,0,"-1"
"1013","the middle",2,0,"-1"
"1019","this marine",2,0,"-1"
"1020","marine species",2,0,"-1"
"1021","species occurs",2,0,"-1"
"1022","occurs in",2,0,"-1"
"1025","off the",2,0,"-1"
"1026","the philippines",2,0,"-1"
"1029","is a species",3,0,"-1"
"1030","a species of",3,0,"-1"
"1031","species of sea",3,0,"-1"
"1032","of sea snail",3,0,"-1"
"1033","a marine gastropod",3,0,"-1"
"1034","marine gastropod mollusk",3,0,"-1"
"1035","gastropod mollusk in",3,0,"-1"
"1036","mollusk in the",3,0,"-1"
"1037","in the family",3,0,"-1"
"1039","the shell grows",3,0,"-1"
"1040","shell grows to",3,0,"-1"
"1041","grows to a",3,0,"-1"
"1042","to a length",3,0,"-1"
"1043","a length of",3,0,"-1"
"1069","this marine species",3,0,"-1"
"1070","marine species occurs",3,0,"-1"
"1071","species occurs in",3,0,"-1"
"1072","occurs in the",3,0,"-1"
"1078","is a species of",4,0,"-1"
"1079","a species of sea",4,0,"-1"
"1080","species of sea snail",4,0,"-1"
"1081","a marine gastropod mollusk",4,0,"-1"
"1082","marine gastropod mollusk in",4,0,"-1"
"1083","gastropod mollusk in the",4,0,"-1"
"1084","mollusk in the family",4,0,"-1"
"1086","the shell grows to",4,0,"-1"
"1087","shell grows to a",4,0,"-1"
"1088","grows to a length",4,0,"-1"
"1089","to a length of",4,0,"-1"
"1110","this marine species occurs",4,0,"-1"
"1111","marine species occurs in",4,0,"-1"
"1112","species occurs in the",4,0,"-1"
"1117","is a species of sea",5,0,"-1"
"1118","a species of sea snail",5,0,"-1"
"1119","a marine gastropod mollusk in",5,0,"-1"
"1120","marine gastropod mollusk in the",5,0,"-1"
"1121","gastropod mollusk in the family",5,0,"-1"
"1123","the shell grows to a",5,0,"-1"
"1124","shell grows to a length",5,0,"-1"
"1125","grows to a length of",5,0,"-1"
"1141","this marine species occurs in",5,0,"-1"
"1142","marine species occurs in the",5,0,"-1"
"1145","h",1,0,"-1"
"1147","two",1,0,"-1"
"1148","o",1,0,"-1"
"1150","based",1,0,"-1"
"1153","duo",1,0,"-1"
"1155","solution",1,0,"-1"
"1157","name",1,0,"-1"
"1159","radio",1,0,"-1"
"1160","station",1,0,"-1"
"1161","where",1,0,"-1"
"1162","pair",1,0,"-1"
"1163","first",1,0,"-1"
"1164","met",1,0,"-1"
"1165","before",1,0,"-1"
"1166","started",1,0,"-1"
"1167","producing",1,0,"-1"
"1168","music",1,0,"-1"
"1169","themselves",1,0,"-1"
"1170","best",1,0,"-1"
"1171","known",1,0,"-1"
"1172","their",1,0,"-1"
"1173","single",1,0,"-1"
"1174","what",1,0,"-1"
"1176","na",1,0,"-1"
"1177","be",1,0,"-1"
"1178","reached",1,0,"-1"
"1179","number",1,0,"-1"
"1180","singles",1,0,"-1"
"1181","chart",1,0,"-1"
"1182","february",1,0,"-1"
"1183","sold",1,0,"-1"
"1184","over",1,0,"-1"
"1186","copies",1,0,"-1"
"1187","featuring",1,0,"-1"
"1188","vocal",1,0,"-1"
"1189","trio",1,0,"-1"
"1191","originally",1,0,"-1"
"1193","seven",1,0,"-1"
"1195","position",1,0,"-1"
"1196","remained",1,0,"-1"
"1197","three",1,0,"-1"
"1198","weeks",1,0,"-1"
"1199","were",1,0,"-1"
"1202","throughout",1,0,"-1"
"1203","2008",1,0,"-1"
"1206","club",1,0,"-1"
"1207","san",1,0,"-1"
"1211","europe",1,0,"-1"
"1212","during",1,0,"-1"
"1213","performed",1,0,"-1"
"1214","dance",1,0,"-1"
"1222","january",1,0,"-1"
"1223","mixed",1,0,"-1"
"1224","one",1,0,"-1"
"1226","second",1,0,"-1"
"1227","ministry",1,0,"-1"
"1228","sound",1,0,"-1"
"1229","album",1,0,"-1"
"1230","2",1,0,"-1"
"1231","after",1,0,"-1"
"1232","short",1,0,"-1"
"1234","returned",1,0,"-1"
"1239","track",1,0,"-1"
"1240","you",1,0,"-1"
"1241","more",1,0,"-1"
"1243","love",1,0,"-1"
"1244","get",1,0,"-1"
"1246","record",1,0,"-1"
"1247","label",1,0,"-1"
"1264","the name",2,0,"-1"
"1267","to the",2,0,"-1"
"1268","name of",2,0,"-1"
"1282","the duo",2,0,"-1"
"1285","best known",2,0,"-1"
"1286","known for",2,0,"-1"
"1287","for their",2,0,"-1"
"1299","singles chart",2,0,"-1"
"1305","the single",2,0,"-1"
"1311","at number",2,0,"-1"
"1328","at the",2,0,"-1"
"1338","during the",2,0,"-1"
"1339","the year",2,0,"-1"
"1342","performed in",2,0,"-1"
"1352","in january",2,0,"-1"
"1355","one of",2,0,"-1"
"1358","on the",2,0,"-1"
"1359","the second",2,0,"-1"
"1369","after a",2,0,"-1"
"1375","with a",2,0,"-1"
"1376","a new",2,0,"-1"
"1384","their first",2,0,"-1"
"1395","record label",2,0,"-1"
"1493","one of the",3,0,"-1"
"1755","national",1,0,"-1"
"1756","cricket",1,0,"-1"
"1757","team",1,0,"-1"
"1759","that",1,0,"-1"
"1761","country",1,0,"-1"
"1762","international",1,0,"-1"
"1763","matches",1,0,"-1"
"1764","became",1,0,"-1"
"1766","member",1,0,"-1"
"1767","2000",1,0,"-1"
"1768","removed",1,0,"-1"
"1769","june",1,0,"-1"
"1774","taken",1,0,"-1"
"1775","part",1,0,"-1"
"1776","four",1,0,"-1"
"1777","tournaments",1,0,"-1"
"1778","between",1,0,"-1"
